property,synsetId,synsetName,mean,normVar,n,minValue,maxValue
Height,n02854926,blouse,0.11,0.71,9.0,0.083333336,0.083333336
Height,n02856013,blue_chip,0.13,0.0,1.0,0.133333338,0.133333338
Height,n02860415,bobbin,0.06,0.46,10.0,0.041666668,0.066666669
Height,n02863340,body_pad,0.47,0.81,5.0,0.241666674,0.83333336
Height,n02870676,book_bag,0.64,0.78,14.0,0.170833339,1.114583369
Height,n07248320,book_jacket,0.44,0.81,4.0,0.108333337,0.723958357
Height,n02871439,bookshelf,3.13,0.58,13.0,2.333333408,4.500000144
Height,n02880546,bowed_stringed_instrument,0.15,0.0,1.0,0.145833338,0.145833338
Height,n02881757,bowler_hat,0.37,0.31,6.0,0.275000009,0.452083348
Height,n02882301,bowling_ball,0.73,0.05,13.0,0.708333356,0.72166669
Height,n02882647,bowling_pin,0.78,0.84,9.0,0.375000012,0.83333336
Height,n02884994,box_camera,0.27,0.0,1.0,0.270833342,0.270833342
Height,n02886321,box_spring,0.68,0.43,10.0,0.41666668,0.854166694
Height,n02887209,brace,0.44,0.49,6.0,0.270833342,0.653958354
Height,n02887970,bracelet,0.05,0.36,4.0,0.039375001,0.057916669
Height,n02888569,bracket,0.36,0.86,10.0,0.106250003,0.62500002
Height,n02890940,brake_shoe,0.34,0.36,10.0,0.241666674,0.406250013
Height,n02889425,brake,0.58,0.0,1.0,0.583333352,0.583333352
Height,n02892304,brass,0.08,0.11,2.0,0.070833336,0.079166669
Height,n02891788,brass,0.04,0.71,3.0,0.022083334,0.054166668
Height,n02892201,brass,0.21,0.98,3.0,0.070000002,0.31875001
Height,n02894337,breakfast_table,2.54,0.28,8.0,2.453125079,3.000000096
Height,n02901114,briefs,0.14,0.47,13.0,0.083333336,0.183333339
Height,n02910353,buckle,0.08,0.55,10.0,0.045833335,0.120833337
Height,n02923915,burr,0.12,0.61,2.0,0.086875003,0.162291672
Height,n02925519,business_suit,0.21,0.0,1.0,0.20833334,0.20833334
Height,n02927764,butter_dish,0.32,0.52,14.0,0.20208334,0.322916677
Height,n02928049,butter_knife,0.21,1.09,13.0,0.058333335,0.258333342
Height,n02987950,c_battery,0.18,0.52,15.0,0.136666671,0.225000007
Height,n06278338,cable_television,0.09,0.33,9.0,0.073333336,0.108333337
Height,n06273743,call_waiting,0.46,0.46,12.0,0.308958343,0.536041684
Height,n02942349,camcorder,0.42,0.58,13.0,0.20833334,0.675000022
Height,n02943241,camera_lens,0.22,0.57,14.0,0.131458338,0.275208342
Height,n02951585,can_opener,0.51,0.56,12.0,0.179166672,0.791666692
Height,n02949084,cane,1.19,0.96,12.0,0.157708338,2.380000076
Height,n02949202,cane,2.62,0.97,4.0,0.333333344,2.677083387
Height,n02949542,canister,0.52,0.63,11.0,0.20833334,0.656250021
Height,n02951358,canoe,1.23,0.39,5.0,1.246666707,1.541666716
Height,n02954163,canvas_tent,1.76,1.14,12.0,0.664583355,1.468750047
Height,n02957135,cap_screw,0.18,0.74,7.0,0.11791667,0.141666671
Height,n02957755,capsule,0.36,0.58,9.0,0.200000006,0.550000018
Height,n02965783,car_mirror,0.48,0.56,9.0,0.250000008,0.62500002
Height,n02970685,car_seat,1.93,0.3,15.0,1.625000052,2.18750007
Height,n02964075,card_table,1.75,0.6,6.0,0.82083336,2.333333408
Height,n02964196,card_table,2.38,0.02,3.0,2.364583409,2.416666744
Height,n02963159,cardigan,0.15,0.61,4.0,0.079166669,0.187500006
Height,n02970408,carryall,0.61,0.58,13.0,0.375000012,0.958333364
Height,n02971356,carton,0.74,0.54,9.0,0.383333346,0.875000028
Height,n02973017,cartridge_holder,0.21,1.12,12.0,0.078958336,0.218750007
Height,n02976249,case_knife,0.08,0.41,7.0,0.066666669,0.079166669
Height,n02976123,case_knife,0.09,0.57,8.0,0.052083335,0.151041672
