workerid,input_measurement,user_ranking,our_ranking,object_name,multiplier,multScore,multScore_w,normFam,normFam_w,normV,normV_w,totalScore,,,,,,,,,
A2AAY4VT9L71SY,10,2,1,laptop,2.3,0,0,0.295,1.475,0.27,0.54,2.015,,,,,,,,,
A2AAY4VT9L71SY,10,3,4,chain_saw,1,0,0,0.265,1.325,0.74,1.48,2.805,,,,,,,,,
A2AAY4VT9L71SY,10,4,3,cash_register,1.3,0,0,0.215,1.075,0.8,1.6,2.675,,,,,,,,,
A2AAY4VT9L71SY,10,5,6,power_saw,1.4,0,0,0.45,2.25,0.38,0.76,3.01,,,,,,,,,
A2AAY4VT9L71SY,10,6,8,stool,1.1,0,0,0.405,2.025,0.63,1.26,3.285,,,,,,,,,
A2AAY4VT9L71SY,10,7,2,power_drill,2.4,0,0,0.265,1.325,0.57,1.14,2.465,,,,,,,,,
A2AAY4VT9L71SY,10,8,7,record_player,1.1,0,0,0.285,1.425,0.84,1.68,3.105,,,,,,,,,
A10HW8RXNLY16Z,10,1,1,laptop,2.3,0,0,0.295,1.475,0.27,0.54,2.015,,,,,,,,,
A10HW8RXNLY16Z,10,2,8,stool,1.1,0,0,0.405,2.025,0.63,1.26,3.285,,,,,,,,,
A10HW8RXNLY16Z,10,3,4,chain_saw,1,0,0,0.265,1.325,0.74,1.48,2.805,,,,,,,,,
A10HW8RXNLY16Z,10,4,5,medicine_ball,1,0,0,0.355,1.775,0.56,1.12,2.895,,,,,,,,,
A10HW8RXNLY16Z,10,5,2,power_drill,2.4,0,0,0.265,1.325,0.57,1.14,2.465,,,,,,,,,
A10HW8RXNLY16Z,10,6,7,record_player,1.1,0,0,0.285,1.425,0.84,1.68,3.105,,,,,,,,,
A10HW8RXNLY16Z,10,7,3,cash_register,1.3,0,0,0.215,1.075,0.8,1.6,2.675,,,,,,,,,
A10HW8RXNLY16Z,10,8,6,power_saw,1.4,0,0,0.45,2.25,0.38,0.76,3.01,,,,,,,,,
A7KLTVEIASF4J,10,1,4,chain_saw,1,0,0,0.265,1.325,0.74,1.48,2.805,,,,,,,,,
