synId_prodId,percYes
n02964196::B0012H2L3E,1
n03968293::B0015OCG9S,0.666666666666667
n04434207::B0052WIVZW,1
n02752615::B0006USFIS,1
n02949084::B009OEAYL8,1
n04560292::B00GFHVVK0,1
n03145522::B000PDQT5C,1
n03495258::B0035QV33E,1
n02890940::B004A67S64,1
n03704549::B0000V08RY,1
n03535024::B004AV8VB0,1
n04569063::B004YW7WCY,1
n04399046::B0013A2S1A,1
n02766320::B005UV0UU4,1
n04116512::B00006IFAY,1
n03985232::B00005BHRV,1
n02829596::B000XKHHMG,1
n03002096::B005UOVEMO,1
n04249415::B001R2LHMA,1
n03908456::B008XB3Z6O,1
n04560619::B00L3XLVAQ,1
n03682487::B00AYBLXCO,1
n02735268::B004MXNAGM,1
n03612814::B00667L53M,1
n03775546::B001R4BOQ2,1
n04560292::B003G4450S,1
n04009552::B00G94Q05A,1
n04461879::B00009IMCK,1
n02774152::B0077CLCWO,1
n02955065::B008M10CVG,1
n03018349::B0002KNN0W,1
n04108268::B00GCQRUQI,1
n04397168::B000GFYRN0,1
n03793850::B00GU4F4OM,1
n03800933::B005CXV51S,0.75
n02837789::B00O0EVUG0,1
n06278475::B00KAXI46Y,1
n04587648::B00K7IGKV8,1
n04284002::B007UIFTYW,1
n04067472::B004XIWOZO,1
n04557648::B00FK8WUQY,0.75
n03117199::B003FI011C,1
n02870676::B006FDHIVU,1
n03359436::B004TS1J1S,1
n03533392::B0061FTBLW,1
n04107743::B00339QX6A,1
n04127249::B003U6SCBU,1
n02738859::B0035X8L96,0.75
n04480853::B0002IL3G0,1
n03761084::B00BGTRK66,1
n03871628::B00KMASA4Q,1
n03683606::B00AOKE1CO,1
n03533392::B000FKLOLY,1
n02760855::B008FS9HM6,1
n03857828::B004G2KQT8,1
n03219483::B001G8J78Q,1
n03374372::B005Z7YQOO,1
n03314227::B00FAJFQ1E,1
n02994573::B00004T7RD,0.75
n02881757::B005Y37EFW,1
n04023695::B000XK4BNE,1
n04589190::B00FK93102,1
n02957135::B0064OV2T4,0.666666666666667
n04023249::B004SY07HU,1
n04593866::B000CD8IEK,1
n04249415::B000BL4UHC,1
n03359436::B00GUF2A2K,1
n02729965::B000WQ0MTG,0.75
n03402511::B00ORQDJUQ,1
n03902220::B00COGRB6Y,0.666666666666667
n02835915::B000K2SBTU,1
n03291741::B000UESR4C,1
n02863340::B000OZZTUW,0.666666666666667
n03495570::B001O2F76A,1
n02777292::B006DD2YDY,1
n04228215::B0046MA9LI,1
n03015254::B001IWO79E,1
n04474466::B0006OIZN4,1
n03125729::B002OSRFRC,1
n04390577::B00GK6AMNS,1
n03418915::B00JJOEV9Y,1
n03147509::B003YHWV0I,1
n03384167::B004NG9DMS,0.666666666666667
